countryName,reportingYear,pollutant,emissions
Belgium,2011,Copper and compounds (as Cu),4055.5
Belgium,2011,Cyanides (as total CN),4848.8
Belgium,2011,Di-(2-ethyl hexyl) phthalate (DEHP),34.34
Belgium,2011,Dichloromethane (DCM),205.5
Belgium,2011,Diuron,13.72
Belgium,2011,Fluoranthene,6.16
Belgium,2011,Fluorides (as total F),1393850
Belgium,2011,Halogenated organic compounds (as AOX),48850
Belgium,2011,Hexachlorobenzene (HCB),7
Belgium,2011,Hexachlorobutadiene (HCBD),1.03
Belgium,2011,Lead and compounds (as Pb),2514.6
Belgium,2011,Mercury and compounds (as Hg),18.86
Belgium,2011,Nickel and compounds (as Ni),4603.6
Belgium,2011,Nonylphenol and Nonylphenol ethoxylates,54.28
Belgium,2011,Octylphenols and Octylphenol ethoxylates,30.6
Belgium,2011,Organotin compounds (as total Sn),7430.1
Belgium,2011,PCDD + PCDF (dioxins + furans) (as Teq),0.000388
Belgium,2011,Pentachlorophenol (PCP),11.77
Belgium,2011,Phenols (as total C),1405.7
Belgium,2011,Polychlorinated biphenyls (PCBs),2.604
Belgium,2011,Polycyclic aromatic hydrocarbons (PAHs),93.7
Belgium,2011,Simazine,1.22
Belgium,2011,Tetrachloroethylene,132
Belgium,2011,Tetrachloromethane (TCM),18.3
Belgium,2011,Total nitrogen,4099400
Belgium,2011,Total organic carbon(as total C or COD/3) (TOC),10764300
Belgium,2011,Total phosphorus,582150
Belgium,2011,Trichloroethylene (TRI),11.1
Belgium,2011,Trichloromethane,200.9
Belgium,2011,Vinyl chloride,26.3
Belgium,2011,Zinc and compounds (as Zn),61937
Belgium,2012,"1,2-dichloroethane (DCE-1,2)",79.8
Belgium,2012,Arsenic and compounds (as As),772.07
Belgium,2012,"Benzo(g,h,i)perylene",17.7
Belgium,2012,Brominated diphenylethers (PBDE),22.35
Belgium,2012,Cadmium and compounds (as Cd),287.47
Belgium,2012,Chlorides (as total Cl),486530000
Belgium,2012,Chromium and compounds (as Cr),5611.3
Belgium,2012,Copper and compounds (as Cu),4766.8
Belgium,2012,Cyanides (as total CN),5178.1
Belgium,2012,Di-(2-ethyl hexyl) phthalate (DEHP),1.78
Belgium,2012,Dichloromethane (DCM),33.9
Belgium,2012,Diuron,3.92
Belgium,2012,Fluoranthene,36.8
Belgium,2012,Fluorides (as total F),1654090
Belgium,2012,Halogenated organic compounds (as AOX),28730
Belgium,2012,Lead and compounds (as Pb),1375.7
Belgium,2012,Lindane,1.4
Belgium,2012,Mercury and compounds (as Hg),8.78
Belgium,2012,Nickel and compounds (as Ni),5900.2
Belgium,2012,Nonylphenol and Nonylphenol ethoxylates,26.62
Belgium,2012,Octylphenols and Octylphenol ethoxylates,106
Belgium,2012,Organotin compounds (as total Sn),74.2
Belgium,2012,PCDD + PCDF (dioxins + furans) (as Teq),0.000102
Belgium,2012,Pentachlorophenol (PCP),5.19
Belgium,2012,Phenols (as total C),1237.4
Belgium,2012,Polychlorinated biphenyls (PCBs),0.52
Belgium,2012,Polycyclic aromatic hydrocarbons (PAHs),125
